ticker,net_income,equity,ebit,capital_employed,revenue,revenue_3y_ago,profit_3y_ago,total_debt,interest_expense,cfo,capex,total_assets,roe,roce,net_margin,operating_margin,revenue_cagr,profit_cagr,debt_to_equity,interest_coverage,ocf_ratio,fcf,fcf_margin,asset_turnover,final_score,score_debt_to_equity
ADVENTHTL,-98000.0,-651000.0,-99000.0,20194974000.0,0.0,,,5610000.0,,20195584000.0,,20200658000.0,0.1505376344086021,-4.902209827058951e-06,,,,,-8.617511520737327,,-206077.38775510204,,,0.0,4.9523809523809526,4.9523809523809526
ABAN,-8893920000.0,-254019960000.0,2120590000.0,-254014870000.0,4756550000.0,5983390000.0,-21770780000.0,156971950000.0,10766100000.0,1388900000.0,12380000.0,15329850000.0,0.0350126816806049,-0.0083482907910076,-1.869825819133616,0.4458252304716654,-0.0736361798279032,(-0.2579957208892203+0j),-0.6179512428865827,0.1969691903289027,-0.1561628618202097,1376520000.0,0.2893946242549747,0.3102802701918153,4.904761904761904,4.904761904761904
AAATECH,35103000.0,308251000.0,47007000.0,308251000.0,254555000.0,144016000.0,23384000.0,0.0,0.0,16553000.0,2589000.0,325543000.0,0.11387797606496,0.1524958556501033,0.1378994716269568,0.1846634322641472,0.2090853597226047,(0.14500788452667868+0j),0.0,,0.4715551377375153,13964000.0,0.0548565143092848,0.7819397130333012,4.833333333333333,4.833333333333333
AGRITECH,-11126000.0,1001390000.0,-11126000.0,1001470000.0,1802000.0,2845000.0,27492000.0,0.0,0.0,-6389000.0,13045000.0,1019521000.0,-0.0111105563267058,-0.0111096687868832,-6.174250832408435,-6.174250832408435,-0.1412023672673764,(-0.6301596899974662+0.6405822076114126j),0.0,,0.5742405177062736,-19434000.0,-10.784683684794672,0.0017674966969782,4.833333333333333,4.833333333333333
63MOONS,-331704000.0,34143357000.0,-546872000.0,34567865000.0,468204000.0,1597650000.0,-531734000.0,28480000.0,6688000.0,-1427828000.0,112723000.0,36785417000.0,-0.0097150376865403,-0.0158202422972896,-0.7084604146910322,-1.1680207772680284,-0.3357710114789227,(-0.1455524162850491+0j),0.0008341300476107,-81.76913875598086,4.304524515833394,-1540551000.0,-3.290341389650665,0.0127279785899939,4.761904761904762,4.761904761904762
AJAXENGG,2600960000.0,11571370000.0,3513110000.0,11687660000.0,20717980000.0,7619640000.0,662080000.0,17680000.0,4290000.0,427200000.0,234520000.0,14824500000.0,0.2247754587399763,0.3005828369408418,0.1255411965838368,0.1695681721866707,0.3957393375241675,(0.5778815622906077+0j),0.0015279089684281,818.9067599067599,0.1642470472440945,192680000.0,0.0093001344725692,1.3975500016863975,4.714285714285714,4.714285714285714
AEROFLEX,525076000.0,3424162000.0,702845000.0,3443075000.0,3665869000.0,2329870000.0,275060000.0,5835000.0,3364000.0,265839000.0,1034628000.0,4265511000.0,0.1533443803184545,0.2041329334969467,0.1432337052960703,0.1917267092741175,0.1630947194957477,0.24050421187004978,0.0017040665716166,208.93133174791916,0.5062867089716536,-768789000.0,-0.209715349893845,0.8594208290636222,4.666666666666667,4.666666666666667
ITC,347466300000.0,700300500000.0,269720000000.0,737565700000.0,746533200000.0,600813600000.0,152426600000.0,2848400000.0,450600000.0,176270400000.0,22787000000.0,880906800000.0,0.4961674309814144,0.3656894565460405,0.4654398491587514,0.3612967246466734,0.0750692927148013,0.31608511043335197,0.00406739678181,598.5796715490458,0.5073021469995795,153483400000.0,0.2055948750839212,0.8474599128988447,4.6190476190476195,4.6190476190476195
ADOR,600500000.0,5070900000.0,911200000.0,5204100000.0,11178700000.0,6570000000.0,450200000.0,24100000.0,45400000.0,1371100000.0,412700000.0,6939300000.0,0.1184207931530891,0.1750927153590438,0.0537182319947757,0.0815121615214649,0.1938285954905763,0.10078501030905995,0.0047526080183004,20.0704845814978,2.2832639467110742,958400000.0,0.0857344771753424,1.6109261741097805,4.571428571428571,4.571428571428571
ALEMBICLTD,3106768000.0,23385908000.0,1579736000.0,23925333000.0,2111813000.0,713693000.0,2220590000.0,144473000.0,24711000.0,863702000.0,507655000.0,25030036000.0,0.1328478671856572,0.0660277539292765,1.471137832753184,0.7480472939602133,0.4356481223478274,(0.11844203536574271+0j),0.0061777802255956,63.92845291570556,0.2780065972097048,356047000.0,0.168597787777611,0.0843711531217933,4.523809523809524,4.523809523809524
ABB,18716400000.0,70754000000.0,25286600000.0,71173700000.0,120876700000.0,68640200000.0,5197100000.0,518800000.0,154000000.0,13318000000.0,2139500000.0,123913300000.0,0.2645278005483789,0.3552801104902513,0.1548387737256228,0.2091933350265187,0.2075951262611677,(0.532805611309431+0j),0.0073324476354693,164.1987012987013,0.7115684640208587,11178500000.0,0.0924785339110018,0.9754941559945542,4.476190476190476,4.476190476190476
ACEINTEG,-15600000.0,175400000.0,-20800000.0,176600000.0,85500000.0,87400000.0,9900000.0,1400000.0,200000.0,-1500000.0,700000.0,182100000.0,-0.088939566704675,-0.1177802944507361,-0.1824561403508772,-0.2432748538011696,-0.0072995303069919,(-0.4181650494100705+1.007767696041085j),0.0079817559863169,-104.0,0.0961538461538461,-2200000.0,-0.0257309941520467,0.4695222405271829,4.428571428571429,4.428571428571429
ADVANIHOTR,264355000.0,814202000.0,354110000.0,882712000.0,980912000.0,486745000.0,65081000.0,6500000.0,1133000.0,211988000.0,32821000.0,1078191000.0,0.3246798705972228,0.4011614207125313,0.2694992007437976,0.3610007829448513,0.2631148746812264,0.595552518701717,0.0079832768772368,312.54192409532214,0.801906527207732,179167000.0,0.1826534898135612,0.9097757261932256,4.380952380952381,4.380952380952381
ACUTAAS,1587136000.0,13096287000.0,2223814000.0,13470137000.0,9999668000.0,5201350000.0,719461000.0,129387000.0,62184000.0,1183427000.0,1946429000.0,15492611000.0,0.1211897692834618,0.1650921590478255,0.1587188694664663,0.2223887833076058,0.24343522875896,0.3017741057713399,0.0098796704745398,35.76183584201724,0.7456367948304368,-763002000.0,-0.0763027332507439,0.645447562066846,4.333333333333334,4.333333333333334
